Link_Text,Link_URL,cleaned_text
Man of the Match Prancis vs Belgia: Ousmane Dembele,https://www.bola.net/piala_eropa/man-of-the-match-prancis-vs-belgia-ousmane-dembele-1255d0.html,man of the match prancis vs belgia ousmane dembele
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
Man of the Match Israel vs Italia: Davide Frattesi,https://www.bola.net/piala_eropa/man-of-the-match-israel-vs-italia-davide-frattesi-4e7580.html,man of the match israel vs italia davide frattesi
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
Hasil Prancis vs Belgia: Skor 2-0,https://www.bola.net/piala_eropa/hasil-prancis-vs-belgia-skor-2-0-fe162e.html,hasil prancis vs belgia skor 20
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
Hasil Israel vs Italia: Skor 1-2,https://www.bola.net/piala_eropa/hasil-israel-vs-italia-skor-1-2-e9b625.html,hasil israel vs italia skor 12
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
Bos Portugal Spill Alasan Cadangkan Ronaldo Saat Lawan Skotlandia: Harus Dilindungi,https://www.bola.net/piala_eropa/bos-belgia-spill-alasan-cadangkan-ronaldo-saat-lawan-skotlandia-harus-dilindungi-64a512.html,bos portugal spill alasan cadangkan ronaldo lawan skotlandia dilindungi
LIGA INGGRIS,https://www.bola.net/inggris/,liga inggris
Update Kontrak Salah di Liverpool: The Reds Bakal Keluarkan Rayuan Maut,https://www.bola.net/inggris/update-kontrak-salah-di-liverpool-the-reds-bakal-keluarkan-rayuan-maut-c92423.html,update kontrak salah liverpool the reds keluarkan rayuan maut
LIGA ITALIA,https://www.bola.net/italia/,liga italia
"Kabar Buruk Untuk AC Milan, Bennacer Terancam Absen Tiga Bulan",https://www.bola.net/italia/kabar-buruk-untuk-ac-milan-bennacer-terancam-absen-tiga-bulan-e19f08.html,kabar buruk ac milan bennacer terancam absen
LIGA INGGRIS,https://www.bola.net/inggris/,liga inggris
"Bikin Pemandu Bakat Terpukau, Bek Sevilla Ini Bakal Diangkut MU?",https://www.bola.net/inggris/bikin-pemandu-bakat-terpukau-bek-sevilla-ini-bakal-diangkut-mu-14b877.html,bikin pemandu bakat terpukau bek sevilla diangkut mu
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
